Vorname,Nachnamekuerzel,Geburtsdatum,Geschlecht(m w d),PunkteSportFittnestest,PunktePraxistest,PunkteTheorietest,AuszeichnungBesondereLeistung(j n),Status(a g p)
Artur,J.,20.10.1947,m,64,79,72,_,_
Arved,Z.,11.9.1971,m,66,79,30,_,_
Arvid,W.,11.8.1973,m,47,77,69,_,_
Arwed,K.,10.10.1957,m,36,29,46,_,_
Asger,S.,30.4.1973,m,40,29,38,_,_
Asmus,I.,23.8.1962,m,74,67,62,_,_
Athan,A.,16.8.1928,m,89,66,51,_,_
Attila,C.,3.1.1933,m,23,40,61,_,_
August,B.,7.4.1960,m,22,95,66,_,_
Augustin,Y.,24.6.1927,m,53,95,91,_,_
Aurel,J.,29.8.1953,m,57,48,80,_,_
Aurelian,V.,29.2.1965,m,20,61,31,_,_
Aurelius,C.,12.12.1952,m,85,28,60,_,_
Avino,V.,3.9.1970,m,20,92,38,_,_
Axel,F.,22.1.1939,m,34,43,73,_,_
